983,264,1939,252,1940,324,984,335
556,278,670,278,670,335,556,335
2054,370,2118,370,2118,912,2054,912
2469,363,2547,363,2517,3245,2439,3244
1521,378,1588,377,1599,1804,1532,1804
1596,371,1673,370,1690,1804,1614,1805
1685,371,1762,370,1778,1797,1700,1797
1775,371,1854,370,1869,1804,1790,1805
1871,378,1939,377,1957,1804,1889,1804
2131,371,2205,370,2221,1790,2146,1790
2215,371,2294,370,2311,1804,2232,1805
2310,378,2382,377,2392,3244,2320,3245
731,385,803,384,813,1811,741,1811
1161,378,1240,377,1250,1811,1171,1811
1347,385,1412,385,1412,1312,1347,1312
547,392,615,391,624,1811,556,1811
634,385,706,385,706,741,634,741
807,385,884,384,899,1811,821,1812
900,392,971,391,988,1811,917,1812
989,385,1068,384,1077,1804,998,1804
1071,385,1148,384,1161,1804,1084,1804
1255,392,1324,391,1334,1568,1265,1569
1425,385,1501,384,1514,1797,1438,1797
1961,484,2032,484,2032,1084,1961,1084
415,513,493,512,507,1925,429,1926
632,756,710,755,720,1804,642,1805
1355,1333,1426,1333,1426,1797,1355,1797
1262,1576,1333,1576,1333,1804,1262,1804
1269,1832,1340,1832,1340,2824,1269,2824
1347,1825,1426,1825,1426,3259,1347,3259
1521,1825,1597,1825,1606,3259,1531,3259
1697,1825,1775,1825,1784,3252,1706,3252
1789,1825,1864,1825,1872,3252,1797,3252
1875,1825,1954,1825,1962,3252,1884,3252
1968,1825,2039,1825,2039,3252,1968,3252
2153,1832,2218,1832,2218,2724,2153,2724
2232,1825,2310,1825,2310,3252,2232,3252
641,1832,720,1832,720,2610,641,2610
734,1832,813,1832,813,3259,734,3259
820,1832,898,1832,898,3252,820,3252
905,1832,984,1832,984,2902,905,2902
998,1832,1076,1832,1076,3252,998,3252
1091,1840,1155,1840,1155,2367,1091,2367
1183,1840,1240,1840,1240,1939,1183,1939
1440,1832,1519,1832,1519,3252,1440,3252
1626,1840,1690,1840,1690,2952,1626,2952
1176,1947,1248,1947,1248,3252,1176,3252
2054,1939,2132,1939,2132,2432,2054,2432
544,1954,620,1952,631,2324,555,2326
1084,2382,1162,2382,1162,3259,1084,3259
1268,2838,1333,2837,1345,3258,1280,3260
920,2916,984,2916,984,3252,920,3252
1618,3016,1690,3016,1690,3259,1618,3259
