456,235,527,235,527,292,456,292
748,235,1405,235,1405,306,748,306
1718,228,1847,228,1847,306,1718,306
613,249,656,249,656,278,613,278
542,341,619,342,608,1776,531,1775
377,356,435,356,435,649,377,649
453,348,531,349,520,1776,442,1775
727,356,784,356,784,513,727,513
891,349,962,349,962,1775,891,1775
1069,356,1141,356,1141,1775,1069,1775
1155,349,1226,349,1226,1412,1155,1412
1333,349,1405,349,1405,477,1333,477
1768,348,1843,349,1834,1305,1759,1304
634,363,698,363,698,1775,634,1775
984,363,1055,363,1055,1183,984,1183
1419,363,1483,363,1483,1782,1419,1782
1509,363,1578,363,1568,1776,1500,1775
1605,362,1671,364,1655,1106,1588,1104
1690,363,1754,363,1754,898,1690,898
798,363,877,363,877,1775,798,1775
92,399,171,399,171,1775,92,1775
271,399,349,399,349,1775,271,1775
189,406,264,406,256,1769,180,1768
21,420,85,420,85,1768,21,1768
1240,470,1312,470,1312,891,1240,891
1889,477,1961,477,1961,1240,1889,1240
713,527,784,527,784,1775,713,1775
1711,898,1740,898,1740,920,1711,920
1668,941,1747,941,1747,1783,1668,1783
1583,1119,1654,1119,1654,1775,1583,1775
977,1183,1048,1183,1048,1761,977,1761
1775,1312,1825,1312,1825,1533,1775,1533
1162,1425,1229,1427,1219,1777,1152,1775
1768,1611,1832,1611,1832,1783,1768,1783
442,1804,520,1804,520,3237,442,3237
21,1804,78,1804,78,3230,21,3230
92,1804,164,1804,164,3230,92,3230
271,1804,342,1804,342,2767,271,2767
356,1804,427,1804,427,3230,356,3230
1240,1811,1312,1811,1312,2496,1240,2496
1683,1811,1749,1811,1740,3238,1674,3237
549,1818,606,1818,606,2232,549,2232
632,1818,701,1818,691,3238,622,3237
713,1811,784,1811,784,3230,713,3230
805,1818,870,1818,870,3237,805,3237
891,1811,968,1811,955,3238,878,3237
1069,1818,1133,1818,1133,3237,1069,3237
1333,1818,1401,1818,1392,3209,1324,3209
1596,1818,1661,1818,1654,3238,1588,3237
977,1818,1048,1818,1048,3230,977,3230
1155,1825,1219,1825,1219,2909,1155,2909
1405,1818,1483,1818,1483,3237,1405,3237
1511,1825,1576,1825,1576,2467,1511,2467
1768,1875,1832,1875,1832,3123,1768,3123
178,1925,256,1925,256,2289,178,2289
527,2282,613,2282,613,3237,527,3237
1504,2467,1569,2467,1569,3237,1504,3237
1248,2496,1305,2496,1305,2760,1248,2760
1240,2760,1305,2760,1305,3237,1240,3237
1148,2931,1219,2931,1219,3159,1148,3159
1148,3166,1219,3166,1219,3245,1148,3245
