1261,256,1918,249,1919,317,1262,325
969,256,1191,256,1191,320,969,320
534,263,656,263,656,328,534,328
1683,356,1761,356,1761,1797,1683,1797
1062,363,1140,363,1150,1790,1071,1790
1238,363,1411,362,1421,1804,1247,1805
1418,363,1497,363,1505,1797,1426,1797
1514,371,1575,369,1583,762,1522,764
1593,363,1670,363,1682,1782,1605,1783
1775,363,1847,363,1847,1255,1775,1255
1854,363,1932,363,1948,1797,1870,1797
2046,370,2111,370,2111,606,2046,606
2120,363,2200,363,2215,1790,2135,1790
2210,363,2289,363,2298,1790,2219,1790
2303,371,2374,370,2387,1782,2315,1783
716,378,789,377,799,1797,725,1797
898,377,969,377,969,1790,898,1790
977,370,1055,370,1055,1790,977,1790
522,378,599,377,606,1419,529,1419
627,377,698,377,698,1804,627,1804
806,385,876,384,885,1804,815,1804
1155,385,1226,384,1236,1790,1166,1790
1947,477,2025,477,2025,1141,1947,1141
413,499,484,499,484,1861,413,1861
1312,684,1340,684,1340,713,1312,713
1506,777,1582,776,1590,1797,1514,1797
1775,1248,1854,1248,1854,1790,1775,1790
534,1433,613,1433,613,1797,534,1797
895,1825,973,1825,988,3259,910,3259
2313,1818,2381,1818,2396,3237,2327,3238
1425,1818,1504,1818,1514,3244,1435,3245
1689,1818,1767,1817,1777,2481,1699,2482
2053,1825,2122,1825,2137,3244,2067,3245
2143,1825,2212,1825,2223,3252,2154,3252
2229,1826,2297,1825,2315,3244,2247,3245
634,1833,701,1832,712,2816,645,2817
718,1825,795,1825,811,3252,734,3252
812,1833,884,1832,895,3245,824,3245
979,1826,1055,1824,1076,3251,1000,3253
1069,1826,1148,1825,1164,3259,1085,3260
1162,1825,1233,1825,1233,2246,1162,2246
1245,1826,1323,1825,1338,3244,1260,3245
1333,1825,1412,1825,1429,3244,1350,3245
1510,1825,1586,1825,1601,3252,1525,3252
1867,1826,1946,1825,1956,2895,1877,2896
1967,1833,2032,1832,2047,3252,1982,3252
531,1833,610,1832,626,3259,547,3259
1599,1833,1675,1832,1695,3259,1619,3260
1776,1940,1854,1938,1866,2659,1789,2661
1162,2246,1240,2245,1253,3252,1176,3253
1711,2503,1775,2503,1775,3188,1711,3188
641,2824,713,2824,713,3252,641,3252
1733,3202,1775,3202,1775,3245,1733,3245
