535,248,1498,264,1497,338,533,323
1775,263,1904,263,1904,335,1775,335
78,362,154,363,137,1797,60,1797
254,362,333,363,314,1790,235,1789
346,362,422,364,400,1798,324,1796
167,369,244,371,228,1199,151,1197
431,370,511,371,494,1790,414,1789
527,370,599,370,599,663,527,663
608,370,687,371,675,1804,596,1804
699,370,777,371,762,1805,683,1804
893,377,961,378,939,1455,871,1454
964,370,1044,371,1026,1805,946,1804
1058,377,1135,378,1114,1805,1036,1804
1324,377,1401,378,1379,1805,1302,1804
1146,384,1222,385,1203,1798,1127,1797
1234,384,1310,385,1291,1805,1214,1804
1410,384,1486,385,1469,1812,1393,1811
1501,384,1581,385,1560,1798,1481,1797
1587,384,1667,385,1650,1812,1570,1811
1676,384,1754,385,1737,1805,1659,1804
1766,384,1847,385,1825,1819,1744,1818
1855,391,1930,392,1911,1812,1836,1811
791,491,865,492,855,1099,781,1097
1975,505,2049,506,2035,1505,1962,1504
523,684,595,684,585,1804,512,1804
149,1191,228,1191,228,1790,149,1790
71,1825,137,1825,126,3245,60,3244
1838,1846,1915,1847,1892,3260,1816,3259
149,1818,226,1818,214,3245,138,3244
327,1825,406,1825,397,2881,317,2881
411,1825,492,1825,484,3259,403,3259
238,1832,318,1833,304,3252,224,3252
499,1832,577,1832,577,3009,499,3009
601,1839,674,1840,657,3252,584,3251
686,1832,764,1833,753,3259,674,3259
778,1832,853,1833,837,3267,762,3266
865,1832,944,1833,926,3267,848,3266
1134,1839,1210,1840,1191,3267,1115,3266
1219,1839,1297,1840,1281,3267,1203,3266
1306,1839,1384,1840,1368,3260,1289,3259
1486,1838,1564,1840,1550,2597,1473,2595
1571,1839,1650,1840,1632,3267,1553,3266
1661,1839,1737,1840,1718,3267,1642,3266
1055,1853,1122,1854,1102,3031,1035,3030
1389,1846,1471,1847,1461,3266,1380,3266
1750,1853,1829,1854,1808,3267,1729,3266
955,1954,1027,1954,1027,2374,955,2374
1469,2610,1547,2610,1547,3266,1469,3266
320,2888,392,2888,392,3252,320,3252
521,3024,547,3021,559,3101,533,3105
506,3138,563,3138,563,3252,506,3252
