991,263,1062,263,1062,335,991,335
1283,263,1355,263,1355,335,1283,335
1576,263,1947,263,1947,335,1576,335
1133,263,1198,263,1198,328,1133,328
1433,271,1497,271,1497,335,1433,335
798,377,870,377,870,984,798,984
891,377,962,377,962,1041,891,1041
977,377,1048,377,1048,920,977,920
1233,377,1312,377,1312,1811,1233,1811
1326,377,1405,377,1405,813,1326,813
1412,377,1490,377,1490,1084,1412,1084
1504,377,1576,377,1576,1034,1504,1034
1590,377,1668,377,1668,805,1590,805
1683,377,1754,377,1754,805,1683,805
1768,377,1840,377,1840,984,1768,984
1854,377,1932,377,1932,984,1854,984
627,385,698,385,698,984,627,984
713,385,784,385,784,798,713,798
1062,385,1141,385,1141,977,1062,977
2114,385,2196,384,2207,1461,2125,1462
1155,442,1226,442,1226,513,1155,513
2046,449,2111,449,2111,748,2046,748
2296,463,2382,463,2382,1454,2296,1454
549,527,606,527,606,1062,549,1062
442,570,492,570,492,1019,442,1019
1947,556,2018,556,2018,805,1947,805
2210,563,2282,563,2282,805,2210,805
549,1098,606,1098,606,1804,549,1804
632,1087,709,1092,698,1279,621,1275
1084,1091,1155,1091,1155,1462,1084,1462
1690,1090,1766,1091,1754,1812,1678,1811
1840,1090,1915,1091,1907,1577,1832,1575
1911,1091,1982,1091,1982,1761,1911,1761
2054,1091,2132,1091,2132,1640,2054,1640
705,1098,783,1097,791,1575,713,1577
855,1098,928,1097,936,1782,863,1783
934,1098,1005,1098,1005,1347,934,1347
1003,1098,1079,1096,1089,1518,1013,1520
1312,1098,1383,1098,1383,1690,1312,1690
1462,1098,1533,1098,1533,1811,1462,1811
2203,1098,2282,1098,2282,1583,2203,1583
784,1148,855,1148,855,1276,784,1276
1162,1148,1226,1148,1226,1226,1162,1226
1383,1148,1454,1148,1454,1397,1383,1397
1611,1155,1683,1155,1683,1747,1611,1747
442,1276,492,1276,492,1440,442,1440
1547,1276,1611,1276,1611,1340,1547,1340
1982,1269,2054,1269,2054,1519,1982,1519
2496,1419,2553,1419,2553,1554,2496,1554
1540,1447,1604,1447,1604,1519,1540,1519
1761,1504,1832,1504,1832,1754,1761,1754
542,1811,649,1811,649,2061,542,2061
661,1818,778,1818,770,3245,652,3244
1005,1818,1105,1818,1105,3245,1005,3245
1131,1818,1208,1818,1195,3245,1118,3244
1595,1818,1673,1818,1660,3245,1581,3244
777,1825,877,1825,877,3245,777,3245
912,1832,977,1832,977,1918,912,1918
1240,1825,1319,1825,1319,3245,1240,3245
1363,1825,1442,1825,1434,3252,1354,3252
1718,1832,1783,1832,1783,2125,1718,2125
1828,1824,1940,1826,1924,2654,1812,2652
1947,1825,2046,1825,2046,3245,1947,3245
2066,1825,2147,1825,2137,3252,2056,3252
1775,1840,1818,1840,1818,2175,1775,2175
1481,1839,1558,1840,1545,3245,1468,3244
876,1940,969,1939,984,3244,892,3245
2186,1946,2264,1947,2252,2953,2175,2952
1714,2124,1790,2125,1779,3245,1702,3244
2303,2132,2382,2132,2382,2560,2303,2560
1889,2253,1954,2253,1954,2303,1889,2303
1889,2317,1925,2317,1925,2638,1889,2638
841,2567,870,2567,870,2603,841,2603
1830,2709,1933,2710,1924,3253,1820,3251
834,3073,877,3073,877,3173,834,3173
2011,3138,2068,3138,2068,3188,2011,3188
2004,3202,2039,3202,2039,3230,2004,3230
